country,keyword,search_volume,cpc,competition,competition_level,source,monthly_searches,difficulty
es,el tiempo,4090000,0.03,LOW,,seed,12,100
es,renfe,3350000,0.7,LOW,,seed,12,61
pt,tempo para amanhã,3350000,0.27,0,LOW,expansion,0,65
es,el tiempo en Madrid,2740000,0.64,LOW,,seed,12,52
es,el tiempo en madrid,2740000,0.64,0,LOW,expansion,0,52
es,aemet,2240000,0.38,LOW,,seed,12,100
es,estación de servicio repsol,1830000,0.33,0.02,LOW,affiliate,0,68
es,tiempo Madrid,1500000,0.25,LOW,,seed,12,42
es,tiempo madrid,1500000,0.25,0,LOW,expansion,0,42
es,plaza de españa,1500000,0.17,0.09,LOW,expansion,0,31
es,noticias,1220000,0.25,0,LOW,expansion,0,100
es,el tiempo en Barcelona,1000000,0.6,LOW,,seed,12,27
es,el tiempo en barcelona,1000000,0.6,0,LOW,expansion,0,27
es,real zaragoza,1000000,0.22,0,LOW,expansion,0,42
es,precio luz hoy,1000000,1.74,0.05,LOW,expansion,0,6
es,las provincias,823000,0.6,0,LOW,expansion,0,44
es,tiempo en madrid,823000,0.41,0,LOW,expansion,0,50
es,aemet madrid,823000,0.02,0,LOW,expansion,0,50
pt,porto,823000,0.61,0.01,LOW,expansion,0,77
es,precio de la luz hoy,823000,1.47,0.05,LOW,expansion,0,13
es,real sociedad,823000,0.5,0,LOW,expansion,0,24
es,el tiempo en valencia,823000,0.29,0,LOW,expansion,0,71
es,valencia cf,823000,0.87,0,LOW,expansion,0,37
es,noticias últimas,823000,0.16,0.01,LOW,expansion,0,100
es,diario de noticias,823000,2.15,0,LOW,expansion,0,100
es,última noticias,823000,0.16,0.01,LOW,expansion,0,100
es,coches net,823000,0.58,0.42,MEDIUM,affiliate,0,23
es,tiempo Barcelona,673000,0.53,LOW,,seed,12,36
es,tiempo barcelona,673000,0.53,0,LOW,expansion,0,36
es,el tiempo madrid,673000,0.46,0,LOW,expansion,0,55
es,la nueva españa,673000,0.18,0,LOW,expansion,0,30
es,valencia,673000,0.73,0.06,LOW,expansion,0,100
es,el tiempo en bilbao,673000,0.76,0,LOW,expansion,0,58
es,lluvia,673000,0.32,0,LOW,expansion,0,81
es,tiempo Bilbao,550000,1.86,LOW,,seed,12,54
es,el tiempo en Bilbao,550000,1.86,LOW,,seed,12,58
es,vuelos baratos,550000,0.45,0.71,HIGH,expansion,0,95
es,telecinco en directo,550000,1.07,0,LOW,expansion,0,90
es,telecinco es directo,550000,1.07,0,LOW,expansion,0,83
es,tiempo bilbao,550000,1.86,0,LOW,expansion,0,54
es,tiempo: bilbao,550000,1.86,0,LOW,expansion,0,54
es,traductor frances español,550000,0.47,0.02,LOW,expansion,0,8
es,loteria navidad 2025,550000,0.22,0.03,LOW,affiliate,0,73
es,tiempo Valencia,450000,1.25,LOW,,seed,12,71
es,el tiempo en Valencia,450000,1.25,LOW,,seed,12,71
pt,meteorologia porto,450000,0.25,0,LOW,expansion,0,37
es,madrid-puerta de atocha-almudena grandes,450000,0.4,0.08,LOW,expansion,0,0
es,noticias de gipuz,450000,1.43,0,LOW,expansion,0,100
es,antena 3 directo,450000,0.01,0,LOW,expansion,0,77
es,traductor castellano a catalán,450000,0.75,0,LOW,expansion,0,37
es,tiempo valencia,450000,1.25,0,LOW,expansion,0,71
es,estación de servicio cepsa,450000,0.31,0.02,LOW,affiliate,0,0
pt,tempo Lisboa,368000,0.31,LOW,,seed,12,22
es,mapa de españa,368000,0.03,0.38,MEDIUM,expansion,0,24
es,centro comercial,368000,0.13,0.05,LOW,expansion,0,53
pt,lisboa tempo,368000,0.31,0,LOW,expansion,0,17
pt,tempo lisboa,368000,0.31,0,LOW,expansion,0,22
pt,meteorologia lisboa,368000,0.22,0,LOW,expansion,0,31
es,el tiempo en vigo,368000,0,0,LOW,expansion,0,24
es,traductor español frances,368000,0.54,0.01,LOW,expansion,0,14
es,metro madrid,301000,0.64,LOW,,seed,12,48
es,tiempo Sevilla,301000,1.45,LOW,,seed,12,42
es,tiempo Zaragoza,301000,0,LOW,,seed,12,28
es,tiempo A Coruña,301000,0.26,LOW,,seed,12,25
es,el tiempo en Sevilla,301000,1.45,LOW,,seed,12,53
es,el tiempo en Zaragoza,301000,0,LOW,,seed,12,30
pt,tempo Porto,301000,0.21,LOW,,seed,12,16
es,el tiempo barcelona,301000,0.69,0,LOW,expansion,0,57
es,casino barcelona,301000,0.84,0.26,LOW,expansion,0,28
es,bolsa de madrid,301000,2.71,0.01,LOW,expansion,0,41
es,coches segunda mano,301000,0.4,0.96,HIGH,expansion,0,37
es,calendario 2026,301000,0.04,0.56,MEDIUM,expansion,0,50
pt,tempo porto,301000,0.21,0,LOW,expansion,0,16
es,precio de la luz,301000,2.53,0.09,LOW,expansion,0,13
