country,keyword,search_volume,cpc,competition_level,source,difficulty
es,tiempo mañana,11100000,0.34,LOW,w10,
es,el tiempo,4090000,0.03,LOW,seed,100
es,renfe,3350000,0.7,LOW,seed,61
pt,tempo para amanhã,3350000,0.27,LOW,w3,65
es,el tiempo en Madrid,2740000,0.64,LOW,seed,52
es,aemet,2240000,0.38,LOW,seed,100
es,estación de servicio repsol,1830000,0.33,LOW,w5,68
es,tiempo Madrid,1500000,0.25,LOW,seed,42
es,plaza de españa,1500000,0.17,LOW,w3,31
es,noticias,1220000,0.25,LOW,w3,100
es,cita previa extranjeria,1220000,1.1,LOW,w10,
es,el tiempo en Barcelona,1000000,0.6,LOW,seed,27
es,real zaragoza,1000000,0.22,LOW,w3,42
es,precio luz hoy,1000000,1.74,LOW,w3,6
es,barcelona real madrid,1000000,0.92,LOW,w10,
es,el tiempo en valencia,823000,0.29,LOW,w3,71
es,las provincias,823000,0.6,LOW,w3,44
es,tiempo en madrid,823000,0.41,LOW,w3,50
es,aemet madrid,823000,0.02,LOW,w3,50
pt,porto,823000,0.61,LOW,w3,77
es,precio de la luz hoy,823000,1.47,LOW,w3,13
es,real sociedad,823000,0.5,LOW,w3,24
es,valencia cf,823000,0.87,LOW,w3,37
es,noticias últimas,823000,0.16,LOW,w3,100
es,diario de noticias,823000,2.15,LOW,w3,100
es,última noticias,823000,0.16,LOW,w3,100
es,coches net,823000,0.58,MEDIUM,w5,23
pt,restaurantes,823000,0.26,LOW,w10,
es,ultima hora,823000,0.68,LOW,w10,
es,última hora,823000,0.68,LOW,w10,
es,barcelona inter,823000,1.09,LOW,w10,
es,tiempo Barcelona,673000,0.53,LOW,seed,36
es,el tiempo en bilbao,673000,0.76,LOW,w3,58
es,el tiempo madrid,673000,0.46,LOW,w3,55
es,la nueva españa,673000,0.18,LOW,w3,30
es,valencia,673000,0.73,LOW,w3,100
es,lluvia,673000,0.32,LOW,w3,81
es,cita previa sepe,673000,1.39,LOW,w10,
es,barcelona contra real madrid,673000,0.24,LOW,w10,
es,tiempo Bilbao,550000,1.86,LOW,seed,54
es,vuelos baratos,550000,0.45,HIGH,w3,95
es,telecinco en directo,550000,1.07,LOW,w3,90
es,telecinco es directo,550000,1.07,LOW,w3,83
es,tiempo: bilbao,550000,1.86,LOW,w3,54
es,traductor frances español,550000,0.47,LOW,w3,8
es,loteria navidad 2025,550000,0.22,LOW,w5,73
es,tiempo de mañana,550000,0.24,LOW,w10,
es,real madrid barcelona,550000,2.2,LOW,w10,
es,tiempo Valencia,450000,1.25,LOW,seed,71
pt,meteorologia porto,450000,0.25,LOW,w3,37
es,madrid-puerta de atocha-almudena grandes,450000,0.4,LOW,w3,0
es,noticias de gipuz,450000,1.43,LOW,w3,100
es,antena 3 directo,450000,0.01,LOW,w3,77
es,traductor castellano a catalán,450000,0.75,LOW,w3,37
es,estación de servicio cepsa,450000,0.31,LOW,w5,0
pt,carris metropolitana,450000,1.12,LOW,w10,
es,sepe cita previa,450000,1.59,LOW,w10,
pt,tempo Lisboa,368000,0.31,LOW,seed,22
es,mapa de españa,368000,0.03,MEDIUM,w3,24
es,centro comercial,368000,0.13,LOW,w3,53
pt,lisboa tempo,368000,0.31,LOW,w3,17
pt,meteorologia lisboa,368000,0.22,LOW,w3,31
es,el tiempo en vigo,368000,0,LOW,w3,24
es,traductor español frances,368000,0.54,LOW,w3,14
es,barcelona athletic,368000,1.69,LOW,w10,
es,metro madrid,301000,0.64,LOW,seed,48
es,tiempo Sevilla,301000,1.45,LOW,seed,42
es,tiempo Zaragoza,301000,0,LOW,seed,28
es,tiempo A Coruña,301000,0.26,LOW,seed,25
es,el tiempo en Sevilla,301000,1.45,LOW,seed,53
es,el tiempo en Zaragoza,301000,0,LOW,seed,30
pt,tempo Porto,301000,0.21,LOW,seed,16
es,el tiempo barcelona,301000,0.69,LOW,w3,57
es,casino barcelona,301000,0.84,LOW,w3,28
es,bolsa de madrid,301000,2.71,LOW,w3,41
es,coches segunda mano,301000,0.4,HIGH,w3,37
es,calendario 2026,301000,0.04,MEDIUM,w3,50
es,precio de la luz,301000,2.53,LOW,w3,13
es,bitcoins precio,301000,2,LOW,w3,62
es,rtve/ directo,301000,0,LOW,w3,73
es,radio televisión española directo,301000,0,LOW,w3,95
es,españa francia,301000,0,LOW,w3,0
es,áemet valencia,301000,0.23,LOW,w3,34
es,tiempo en valencia,301000,0,LOW,w3,38
es,tiempo en malaga,301000,0,LOW,w5,25
pt,bom condutor,301000,1.01,LOW,w10,
es,tarifa luz hoy,301000,1.66,LOW,w10,
es,cita previa dni,301000,1.9,LOW,w10,
es,rcd espanyol de barcelona,301000,0.16,LOW,w10,
es,tiempo Valladolid,246000,0,LOW,seed,26
es,el tiempo en huelva,246000,0,LOW,w3,25
es,tiempo en barcelona,246000,0.3,LOW,w3,36
es,real sociedad barcelona,246000,1.03,LOW,w3,12
es,temperatura madrid,246000,0.13,LOW,w3,35
es,centro comercial principe pio,246000,0.44,LOW,w3,1
es,real valladolid,246000,0.3,LOW,w3,39
es,mapa españa,246000,0.03,MEDIUM,w3,37
es,centro comercial islazul,246000,0.59,LOW,w3,2
es,aeropuerto adolfo suárez madrid-barajas,246000,0.4,LOW,w3,23
es,plano metro madrid,246000,0.07,LOW,w3,7
pt,meteorologia braga,246000,0,LOW,w3,18
es,guadalajara,246000,1.09,LOW,w3,80
es,españa portugal,246000,0,LOW,w3,0
es,portugal-españa,246000,0,LOW,w3,0
es,españa georgia,246000,0,LOW,w3,0
es,portugal españa,246000,0,LOW,w3,0
pt,jogos olímpicos de inverno de 2026,246000,0.96,LOW,w3,5
es,traductor aleman español,246000,1.48,LOW,w3,21
es,correos seguimiento,246000,1.3,LOW,w3,70
es,seguimiento correos,246000,1.35,LOW,w3,70
es,traductor español arabe,246000,0.63,LOW,w3,9
pt,mercado do bolhão,246000,0.44,LOW,w10,
es,vuelos,246000,0.47,MEDIUM,w10,
es,llegadas,246000,0.27,LOW,w10,
es,tesla,246000,0.73,LOW,w10,
es,ibiza,246000,0.79,LOW,w10,
es,barcelona fc,246000,0.56,LOW,w10,
es,metro bilbao,201000,0.23,LOW,seed,19
es,aeropuerto Palma de Mallorca,201000,1.35,LOW,seed,9
es,balearia,201000,0.07,LOW,seed,
es,fred olsen,201000,0.06,LOW,seed,16
es,tiempo Málaga,201000,0,LOW,seed,29
es,tiempo Córdoba,201000,0,LOW,seed,25
es,tiempo Granada,201000,0,LOW,seed,23
es,tiempo Oviedo,201000,0,LOW,seed,31
es,el tiempo en Málaga,201000,0,LOW,seed,25
es,el tiempo en Palma,201000,0.16,LOW,seed,25
es,calidad aire,201000,0.24,LOW,seed,35
pt,via verde,201000,0.02,LOW,seed,2
es,tenerife,201000,0.75,LOW,w3,100
es,barcelona celta de vigo,201000,0.92,LOW,w3,0
es,puerto de la cruz,201000,0.73,LOW,w3,36
es,temps barcelona,201000,0,LOW,w3,42
es,santa cruz de tenerife,201000,0.76,LOW,w3,30
es,museo nacional centro de arte reina sofía,201000,0.32,LOW,w3,39
es,ifema madrid,201000,2.96,LOW,w3,21
es,centro comercial la vaguada,201000,0.41,LOW,w3,8
es,palacio real de madrid,201000,0.91,LOW,w3,37
es,parque warner madrid,201000,0.27,LOW,w3,21
es,estacion de autobuses del sur de madrid,201000,0.18,LOW,w3,0
es,centro comercial splau,201000,0.3,LOW,w3,1
es,renfe cercanias,201000,0.6,LOW,w3,33
es,estacion sur de autobuses madrid,201000,0.18,LOW,w3,0
es,aeropuerto,201000,0.22,LOW,w3,69
es,tiempo madrid hoy,201000,0,LOW,w3,43
es,onda cero: directo,201000,0.03,LOW,w3,23
es,onda cero directo,201000,0.03,LOW,w3,23
es,la sexta directo,201000,0.02,LOW,w3,68
es,temu españa,201000,0.14,HIGH,w3,1
es,plaza españa,201000,0.25,LOW,w3,22
es,el tiempo valencia,201000,0.02,LOW,w3,33
es,el tiempo: bilbao,201000,0,LOW,w3,33
es,el tiempo bilbao,201000,0,LOW,w3,54
es,tiempo a vigo,201000,0.58,LOW,w3,24
es,tiempo en bilbao,201000,1.08,LOW,w3,54
es,traductor español,201000,0.53,LOW,w3,99
es,metrovalencia horarios,201000,0,LOW,w3,27
es,tarifa luz hora,201000,2.66,LOW,w5,16
es,declaracion de la renta 2024,201000,1.29,LOW,w5,28
es,dirección general de tráfico,201000,0.93,LOW,w10,
es,director general de tráfico,201000,0.93,LOW,w10,
es,solucionador de problemas matemáticos,201000,0.81,LOW,w10,
es,lotería primitiva: comprobar,201000,1.41,LOW,w10,
es,q u e significa,201000,0,LOW,w10,
es,cita previa,201000,1.79,LOW,w10,
es,cita previa seguridad social,201000,1.71,LOW,w10,
es,cita seguridad social,201000,1.73,LOW,w10,
es,radar lluvia,165000,0.18,LOW,seed,32
es,tiempo Alicante,165000,0.04,LOW,seed,27
es,tiempo Vigo,165000,0,LOW,seed,24
es,barcelona real sociedad,165000,0,LOW,w3,0
es,puerto rico,165000,0.32,LOW,w3,18
es,mediamarkt canarias,165000,0.06,MEDIUM,w3,3
es,plaza de armas,165000,0.12,LOW,w3,5
es,puerto venecia,165000,0.63,LOW,w3,4
es,temperatura barcelona,165000,0.49,LOW,w3,57
es,albacete barcelona,165000,0.58,LOW,w3,15
es,barcelona levante,165000,2.53,LOW,w3,0
es,celta de vigo barcelona,165000,0.02,LOW,w3,0
es,puerto banus,165000,0.45,LOW,w3,9
es,levante barcelona,165000,0,LOW,w3,14
es,banco de españa,165000,8.9,LOW,w3,77
es,hora colombia,165000,0,LOW,w3,20
es,real murcia,165000,0,LOW,w3,70
es,villalba madrid,165000,1.22,LOW,w3,6
pt,previsão do tempo,165000,0.34,LOW,w3,50
pt,olx portugal,165000,1.67,LOW,w3,100
pt,aeroporto francisco sá carneiro,165000,0.36,LOW,w3,34
es,precio oro,165000,0.07,LOW,w3,11
es,precio del oro,165000,0.13,LOW,w3,8
es,precio luz mañana,165000,2.98,LOW,w3,14
es,diario de noticias de navarra,165000,0,LOW,w3,43
es,diario de noticias navarra,165000,0,LOW,w3,75
es,navarra diario de noticias,165000,0,LOW,w3,47
es,apagon españa,165000,0,LOW,w3,0
es,tiempo: vigo,165000,0,LOW,w3,26
pt,combustíveis,165000,0.21,LOW,w3,23
es,madrid barajas airport,165000,0.81,LOW,w3,33
es,europcar,165000,0.67,MEDIUM,w5,22
es,coches,165000,0.35,HIGH,w5,50
es,facebook entrar,165000,0,LOW,w10,
es,accidente tren,165000,0,LOW,w10,
es,zona de bajas emisiones,165000,0.72,LOW,w10,
es,aena,135000,1.83,LOW,seed,79
es,tiempo Gijón,135000,0,LOW,seed,19
es,tiempo Vitoria,135000,0,LOW,seed,18
pt,metro lisboa,135000,0.3,LOW,seed,80
pt,ipma tempo,135000,0.18,LOW,seed,50
pt,tempo Braga,135000,0.61,LOW,seed,15
pt,combustíveis próxima semana,135000,1.35,LOW,w3,0
es,cd tenerife,135000,0,LOW,w3,44
es,canarias,135000,0.46,LOW,w3,100
es,catedral de barcelona,135000,0.49,LOW,w3,25
es,el tiempo: cádiz,135000,0,LOW,w3,15
es,ayuntamiento de madrid,135000,3.56,LOW,w3,71
es,ciudad real,135000,1.03,LOW,w3,83
pt,lisboa oriente,135000,0.51,LOW,w3,2
es,hora,135000,0,LOW,w3,47
es,el tiempo en madrid 14 dias,135000,0.01,LOW,w3,60
es,el tiempo a 14 días en madrid,135000,0.01,LOW,w3,96
es,mapa metro madrid,135000,0.07,LOW,w3,15
es,precio petroleo,135000,0.97,LOW,w3,21
es,aeropuerto de bilbao,135000,1.22,LOW,w3,10
es,aeropuerto de málaga costa del sol,135000,0.4,LOW,w3,16
es,aeropuerto de málaga-costa del sol,135000,0.4,LOW,w3,13
es,centro comercial plaza norte 2,135000,0.62,LOW,w3,17
es,q hora es en honduras,135000,0,LOW,w3,0
es,gran via 2 centro comercial,135000,0.74,LOW,w3,0
es,telemadrid en directo,135000,0,LOW,w3,43
es,españa-bulgaria,135000,0,LOW,w3,0
es,radios de españa,135000,0.05,LOW,w3,86
es,valencia plaza,135000,2.03,LOW,w3,100
pt,parque de estacionamento,135000,0.27,LOW,w3,0
es,cambio de hora,135000,0.04,LOW,w3,26
es,moto ocasion,135000,0.07,LOW,w5,27
es,compramos tu coche,135000,3.12,HIGH,w5,30
es,declaración de la renta 2025,135000,1.68,LOW,w5,8
es,aire acondicionado,135000,0.5,HIGH,w10,
es,aire acondicionado portatil,135000,0.22,HIGH,w10,
es,hospital clínic de barcelona,135000,0.43,LOW,w10,
es,sescam cita previa,135000,3.97,LOW,w10,
es,aeropuertos españoles y navegación aérea,135000,1.83,LOW,w10,
es,tesla stock,135000,1.43,LOW,w10,
es,el tiempo en almería,135000,0,LOW,w10,
es,central de reservas,135000,0.08,LOW,w10,
es,cita previa en sescam,135000,3.97,LOW,w10,
es,playa de la barceloneta,135000,0.21,LOW,w10,
es,cercanías Madrid,110000,0.88,LOW,seed,62
es,rodalies,110000,0.77,LOW,seed,41
es,metro valencia,110000,0.4,LOW,seed,54
es,horarios renfe,110000,0.33,LOW,seed,56
es,alcampo gasolinera,110000,0.47,LOW,seed,0
es,tiempo Murcia,110000,0,LOW,seed,59
es,el tiempo en Murcia,110000,0,LOW,seed,37
es,provincias españa mapa,110000,0.03,LOW,seed,6
pt,preço combustível,110000,1.06,LOW,seed,22
pt,preço combustíveis próxima semana,110000,1.76,LOW,w3,1
es,el tiempo en las palmas de gran canaria,110000,0.31,LOW,w3,65
es,arenas de barcelona,110000,0.26,LOW,w3,20
es,islas canarias,110000,0.13,LOW,w3,24
es,fira barcelona,110000,0.61,LOW,w3,26
es,binter canarias,110000,0.26,LOW,w3,8
es,gran canaria,110000,0.85,LOW,w3,100
es,clima barcelona,110000,3.18,LOW,w3,57
es,parque de atracciones de madrid,110000,0.25,LOW,w3,32
es,comunidad de madrid,110000,0.44,LOW,w3,94
es,hora en peru,110000,0,LOW,w3,7
es,cercanias madrid,110000,0.88,LOW,w3,48
es,matadero madrid,110000,0.79,LOW,w3,43
es,mapa provincias españa,110000,0.03,LOW,w3,28
pt,instituto de meteorologia,110000,0,LOW,w3,57
pt,tap portugal,110000,0.22,MEDIUM,w3,42
pt,meteorologia guimarães,110000,0.05,LOW,w3,6
pt,notícias última hora,110000,0.42,LOW,w3,100
pt,portugal espanha,110000,0.11,LOW,w3,0
pt,vila do conde,110000,0.77,LOW,w3,20
es,renfe horario,110000,0.38,LOW,w3,64
es,terminal t4 llegadas aparcamiento p 4,110000,0.39,LOW,w3,0
es,hora en honduras,110000,0,LOW,w3,0
es,quiniela directo,110000,2.37,LOW,w3,65
es,cuesta frank,110000,0,LOW,w3,13
es,antena 3 en directo,110000,0.02,LOW,w3,74
es,radio huesca,110000,0.24,LOW,w3,8
es,es radio directo,110000,0.02,LOW,w3,62
es,españa serbia,110000,3.04,LOW,w3,0
es,parque europa,110000,0.28,LOW,w3,19
es,ayuntamiento de valencia,110000,0.15,LOW,w3,38
es,turquia españa,110000,0.09,LOW,w3,0
es,dgt multas,110000,1.95,LOW,w3,45
es,gran vía 2,110000,0.35,LOW,w3,15
pt,horários funchal,110000,0.4,LOW,w3,10
es,bioparc valencia,110000,0.58,LOW,w3,33
pt,hora funchal,110000,0.4,LOW,w3,0
pt,preço combustiveis,110000,1.06,LOW,w3,19
es,renfe horarios,110000,0.38,LOW,w3,64
es,horarios mercadona,110000,0,LOW,w5,9
pt,abola-pt,110000,0,LOW,w5,11
es,loteria de navidad 2025,110000,0.13,LOW,w5,100
pt,voos baratos,110000,0.47,HIGH,w5,62
es,horario renfe cercanias,110000,1.16,LOW,w5,47
es,el tiempo 14 días,110000,0.03,LOW,w10,
es,catalunya radio,110000,0.42,LOW,w10,
es,libro: s,110000,0.12,MEDIUM,w10,
es,comprobar loteria,110000,1.78,LOW,w10,
es,centro de salud,110000,1.05,LOW,w10,
es,estación Valencia Joaquín Sorolla,90500,0.2,LOW,seed,0
es,armas naviera,90500,0.15,LOW,seed,4
