country,keyword,search_volume,difficulty,cpc,competition_level,relevance,score
pt,tempo para amanhã,3350000,65,0.27,LOW,10,670000.0
es,el tiempo en madrid,2740000,52,0.64,LOW,10,662903.2
es,madrid-puerta de atocha-almudena grandes,450000,0,0.4,LOW,9,607500.0
es,estación de servicio cepsa,450000,0,0.31,LOW,9,607500.0
es,el tiempo en Madrid,2740000,52,0.64,,10,441935.5
es,tiempo madrid,1500000,42,0.25,LOW,10,432692.3
es,el tiempo en barcelona,1000000,27,0.6,LOW,10,405405.4
es,el tiempo,4090000,100,0.03,,10,371818.2
es,estación de servicio repsol,1830000,68,0.33,LOW,9,316730.8
es,tiempo Madrid,1500000,42,0.25,,10,288461.5
es,estacion de autobuses del sur de madrid,201000,0,0.18,LOW,9,271350.0
es,estacion sur de autobuses madrid,201000,0,0.18,LOW,9,271350.0
es,el tiempo en Barcelona,1000000,27,0.6,,10,270270.3
es,tiempo barcelona,673000,36,0.53,LOW,10,219456.5
es,tiempo en madrid,823000,50,0.41,LOW,10,205750.0
es,aemet madrid,823000,50,0.02,LOW,10,205750.0
pt,lisboa tempo,368000,17,0.31,LOW,10,204444.4
es,aemet,2240000,100,0.38,,10,203636.4
pt,parque de estacionamento,135000,0,0.27,LOW,9,182250.0
pt,tempo porto,301000,16,0.21,LOW,10,173653.8
pt,tempo lisboa,368000,22,0.31,LOW,10,172500.0
es,el tiempo en vigo,368000,24,0,LOW,10,162352.9
pt,combustíveis próxima semana,135000,0,1.35,LOW,8,162000.0
es,el tiempo madrid,673000,55,0.46,LOW,10,155307.7
es,el tiempo en valencia,823000,71,0.29,LOW,10,152407.4
es,plano metro madrid,246000,7,0.07,LOW,7,151941.2
es,el tiempo en bilbao,673000,58,0.76,LOW,10,148455.9
es,tiempo Barcelona,673000,36,0.53,,10,146304.3
pt,meteorologia porto,450000,37,0.25,LOW,10,143617.0
pt,meteorologia lisboa,368000,31,0.22,LOW,10,134634.1
pt,meteorologia braga,246000,18,0,LOW,10,131785.7
es,tiempo en malaga,301000,25,0,LOW,10,129000.0
es,tiempo bilbao,550000,54,1.86,LOW,10,128906.2
es,tiempo: bilbao,550000,54,1.86,LOW,10,128906.2
es,aeropuerto palma de mallorca,201000,9,1.35,LOW,8,126947.4
es,puerto venecia,165000,4,0.63,LOW,7,123750.0
es,estación de autobuses plaza de armas,90500,0,0.11,LOW,9,122175.0
pt,preço combustíveis próxima semana,110000,1,1.76,LOW,8,120000.0
pt,tempo Porto,301000,16,0.21,,10,115769.2
pt,tempo Lisboa,368000,22,0.31,,10,115000.0
es,alaves real sociedad,90500,1,0,LOW,9,111068.2
es,el tiempo en huelva,246000,25,0,LOW,10,105428.6
pt,meteorologia guimarães,110000,6,0.05,LOW,10,103125.0
es,mediamarkt canarias,165000,3,0.06,MEDIUM,8,101538.5
es,estación de servicio petronor repsol,74000,0,0.5,LOW,9,99900.0
pt,porto,823000,77,0.61,LOW,7,99327.6
es,tiempo en valencia,301000,38,0,LOW,10,94062.5
es,puerto banus,165000,9,0.45,LOW,7,91184.2
es,aeropuerto adolfo suárez madrid-barajas,246000,23,0.4,LOW,8,89454.5
es,tiempo a vigo,201000,24,0.58,LOW,10,88676.5
es,alcampo gasolinera,110000,0,0.47,,8,88000.0
pt,são bento porto,90500,1,0.14,LOW,7,86386.4
es,tiempo A Coruña,301000,25,0.26,,10,86000.0
es,tiempo Bilbao,550000,54,1.86,,10,85937.5
es,aeropuerto Palma de Mallorca,201000,9,1.35,,8,84631.6
es,tiempo valencia,450000,71,1.25,LOW,10,83333.3
es,precio luz mañana,165000,14,2.98,LOW,8,82500.0
es,estacion joaquin sorolla valencia,60500,0,0.24,LOW,9,81675.0
es,estación Valencia Joaquín Sorolla,90500,0,0.2,,9,81450.0
es,el tiempo: cádiz,135000,15,0,LOW,10,81000.0
es,aeropuerto de bilbao,135000,10,1.22,LOW,8,81000.0
es,el tiempo en Bilbao,550000,58,1.86,,10,80882.4
es,tiempo en barcelona,246000,36,0.3,LOW,10,80217.4
pt,meteorologia leiria,90500,7,0,LOW,10,79852.9
es,tiempo Zaragoza,301000,28,0,,10,79210.5
pt,jogo porto,74000,0,0.66,LOW,7,77700.0
es,el tiempo en Zaragoza,301000,30,0,,10,75250.0
es,estación de madrid-chamartín-clara campoamor,60500,1,0.21,LOW,9,74250.0
pt,meteorologia portimão,49500,0,0,LOW,10,74250.0
pt,meteorologia vila do conde,49500,0,0,LOW,10,74250.0
es,binter canarias,110000,8,0.26,LOW,8,73333.3
es,estacion de autobuses valencia,74000,4,0.17,LOW,9,71357.1
es,aeropuerto de málaga-costa del sol,135000,13,0.4,LOW,8,70434.8
es,el tiempo valencia,201000,33,0.02,LOW,10,70116.3
es,el tiempo: bilbao,201000,33,0,LOW,10,70116.3
es,tiempo: vigo,165000,26,0,LOW,10,68750.0
es,tiempo Valladolid,246000,26,0,,10,68333.3
es,madrid estacion sur,60500,2,0.18,LOW,9,68062.5
es,linea 6 metro de madrid,90500,4,0,LOW,7,67875.0
pt,metro do porto,90500,4,0.81,LOW,7,67875.0
es,el tiempo barcelona,301000,57,0.69,LOW,10,67388.1
pt,estacionamento oriente,49500,0,0.19,LOW,9,66825.0
es,roque nublo gran canaria,74000,4,0.16,LOW,8,63428.6
es,renfe cercanias,201000,33,0.6,LOW,9,63104.7
es,aeropuerto de málaga costa del sol,135000,16,0.4,LOW,8,62307.7
es,puerto rico,165000,18,0.32,LOW,7,61875.0
es,tiempo Granada,201000,23,0,,10,60909.1
pt,meteorologia santa maria da feira,40500,0,0.11,LOW,10,60750.0
pt,combustíveis,165000,23,0.21,LOW,8,60000.0
es,hora nicaragua,49500,0,0,LOW,8,59400.0
es,nicaragua hora,49500,0,0,LOW,8,59400.0
es,horario nicaragua,49500,0,0,LOW,8,59400.0
es,nicaragua horario,49500,0,0,LOW,8,59400.0
es,hora en nicaragua,49500,0,0,LOW,8,59400.0
es,tiempo Sevilla,301000,42,1.45,,10,57884.6
es,tiempo Córdoba,201000,25,0,,10,57428.6
es,el tiempo en Málaga,201000,25,0,,10,57428.6
es,el tiempo en Palma,201000,25,0.16,,10,57428.6
es,tiempo madrid hoy,201000,43,0,LOW,10,56886.8
es,mapa metro madrid,135000,15,0.07,LOW,7,56700.0
