country,keyword,search_volume,cpc,competition_level,source,difficulty,relevance,score
pt,tempo para amanhã,3350000,0.27,LOW,w3,65,10,670000.0
es,el tiempo en Madrid,2740000,0.64,LOW,seed,52,10,662903.2
es,renfe,3350000,0.7,LOW,seed,61,9,636971.8
es,madrid-puerta de atocha-almudena grandes,450000,0.4,LOW,w3,0,9,607500.0
es,estación de servicio cepsa,450000,0.31,LOW,w5,0,9,607500.0
es,el tiempo,4090000,0.03,LOW,seed,100,10,557727.3
es,tiempo Madrid,1500000,0.25,LOW,seed,42,10,432692.3
es,el tiempo en Barcelona,1000000,0.6,LOW,seed,27,10,405405.4
es,estación de servicio repsol,1830000,0.33,LOW,w5,68,9,316730.8
es,aemet,2240000,0.38,LOW,seed,100,10,305454.5
es,estacion de autobuses del sur de madrid,201000,0.18,LOW,w3,0,9,271350.0
es,estacion sur de autobuses madrid,201000,0.18,LOW,w3,0,9,271350.0
es,tiempo Barcelona,673000,0.53,LOW,seed,36,10,219456.5
es,tiempo en madrid,823000,0.41,LOW,w3,50,10,205750.0
es,aemet madrid,823000,0.02,LOW,w3,50,10,205750.0
pt,lisboa tempo,368000,0.31,LOW,w3,17,10,204444.4
pt,parque de estacionamento,135000,0.27,LOW,w3,0,9,182250.0
pt,tempo Porto,301000,0.21,LOW,seed,16,10,173653.8
pt,tempo Lisboa,368000,0.31,LOW,seed,22,10,172500.0
es,el tiempo en vigo,368000,0,LOW,w3,24,10,162352.9
pt,combustíveis próxima semana,135000,1.35,LOW,w3,0,8,162000.0
es,el tiempo madrid,673000,0.46,LOW,w3,55,10,155307.7
es,el tiempo en valencia,823000,0.29,LOW,w3,71,10,152407.4
es,plano metro madrid,246000,0.07,LOW,w3,7,7,151941.2
es,el tiempo en bilbao,673000,0.76,LOW,w3,58,10,148455.9
pt,meteorologia porto,450000,0.25,LOW,w3,37,10,143617.0
pt,meteorologia lisboa,368000,0.22,LOW,w3,31,10,134634.1
es,alcampo gasolinera,110000,0.47,LOW,seed,0,8,132000.0
es,terminal t4 llegadas aparcamiento p 4,110000,0.39,LOW,w3,0,8,132000.0
pt,meteorologia braga,246000,0,LOW,w3,18,10,131785.7
es,tiempo A Coruña,301000,0.26,LOW,seed,25,10,129000.0
es,tiempo en malaga,301000,0,LOW,w5,25,10,129000.0
es,tiempo Bilbao,550000,1.86,LOW,seed,54,10,128906.2
es,tiempo: bilbao,550000,1.86,LOW,w3,54,10,128906.2
es,aeropuerto Palma de Mallorca,201000,1.35,LOW,seed,9,8,126947.4
es,puerto venecia,165000,0.63,LOW,w3,4,7,123750.0
es,estación Valencia Joaquín Sorolla,90500,0.2,LOW,seed,0,9,122175.0
es,estación de autobuses plaza de armas,90500,0.11,LOW,w5,0,9,122175.0
pt,preço combustíveis próxima semana,110000,1.76,LOW,w3,1,8,120000.0
es,tiempo Zaragoza,301000,0,LOW,seed,28,10,118815.8
es,el tiempo en Zaragoza,301000,0,LOW,seed,30,10,112875.0
es,el tiempo en huelva,246000,0,LOW,w3,25,10,105428.6
pt,meteorologia guimarães,110000,0.05,LOW,w3,6,10,103125.0
es,tiempo Valladolid,246000,0,LOW,seed,26,10,102500.0
es,estación de servicio petronor repsol,74000,0.5,LOW,w5,0,9,99900.0
es,tiempo en valencia,301000,0,LOW,w3,38,10,94062.5
es,tiempo Granada,201000,0,LOW,seed,23,10,91363.6
es,puerto banus,165000,0.45,LOW,w3,9,7,91184.2
es,aeropuerto adolfo suárez madrid-barajas,246000,0.4,LOW,w3,23,8,89454.5
es,tiempo a vigo,201000,0.58,LOW,w3,24,10,88676.5
es,tiempo Sevilla,301000,1.45,LOW,seed,42,10,86826.9
es,tiempo Córdoba,201000,0,LOW,seed,25,10,86142.9
es,el tiempo en Málaga,201000,0,LOW,seed,25,10,86142.9
es,el tiempo en Palma,201000,0.16,LOW,seed,25,10,86142.9
es,tiempo Valencia,450000,1.25,LOW,seed,71,10,83333.3
es,estacion joaquin sorolla valencia,60500,0.24,LOW,w3,0,9,81675.0
pt,tempo Braga,135000,0.61,LOW,seed,15,10,81000.0
es,el tiempo: cádiz,135000,0,LOW,w3,15,10,81000.0
es,aeropuerto de bilbao,135000,1.22,LOW,w3,10,8,81000.0
es,tiempo en barcelona,246000,0.3,LOW,w3,36,10,80217.4
pt,meteorologia leiria,90500,0,LOW,w3,7,10,79852.9
es,lluvia,673000,0.32,LOW,w3,81,7,77653.8
es,tiempo Málaga,201000,0,LOW,seed,29,10,77307.7
es,estación de madrid-chamartín-clara campoamor,60500,0.21,LOW,w3,1,9,74250.0
pt,meteorologia portimão,49500,0,LOW,w3,0,10,74250.0
pt,meteorologia vila do conde,49500,0,LOW,w3,0,10,74250.0
es,tiempo Oviedo,201000,0,LOW,seed,31,10,73536.6
es,tiempo Vigo,165000,0,LOW,seed,24,10,72794.1
es,metro bilbao,201000,0.23,LOW,seed,19,7,72775.9
es,tiempo Vitoria,135000,0,LOW,seed,18,10,72321.4
es,el tiempo en Sevilla,301000,1.45,LOW,seed,53,10,71666.7
es,estacion de autobuses valencia,74000,0.17,LOW,w3,4,9,71357.1
es,aeropuerto de málaga-costa del sol,135000,0.4,LOW,w3,13,8,70434.8
es,el tiempo valencia,201000,0.02,LOW,w3,33,10,70116.3
es,el tiempo: bilbao,201000,0,LOW,w3,33,10,70116.3
es,tiempo Gijón,135000,0,LOW,seed,19,10,69827.6
es,tiempo: vigo,165000,0,LOW,w3,26,10,68750.0
es,madrid estacion sur,60500,0.18,LOW,w3,2,9,68062.5
pt,tempo Coimbra,90500,0.05,LOW,seed,10,10,67875.0
es,linea 6 metro de madrid,90500,0,LOW,w3,4,7,67875.0
pt,metro do porto,90500,0.81,LOW,w3,4,7,67875.0
es,el tiempo barcelona,301000,0.69,LOW,w3,57,10,67388.1
es,tiempo Alicante,165000,0.04,LOW,seed,27,10,66891.9
pt,estacionamento oriente,49500,0.19,LOW,w3,0,9,66825.0
pt,tempo Leiria,74000,0.31,LOW,seed,7,10,65294.1
es,renfe cercanias,201000,0.6,LOW,w3,33,9,63104.7
